"price","sqft","bedrooms","baths","age","pool","style","fireplace","waterfront","dom"
118000,2798,3,2,25,0,1,1,0,188
208000,3157,3,2,18,0,1,1,0,21
103500,1452,3,2,18,0,1,0,0,14
119900,2457,4,2,25,0,1,0,0,8
175000,3234,4,2,25,1,1,1,0,15
119637,2830,4,2,35,0,1,0,0,36
98500,1460,3,2,25,0,1,0,0,8
132000,1873,3,2,1,0,1,1,0,163
143000,2331,2,2,25,0,1,1,0,86
68000,1590,2,1,35,0,1,0,0,65
246000,3370,4,3,2,0,1,1,0,117
330000,4249,5,3,8,1,1,1,0,41
153000,1668,3,2,8,0,1,1,0,74
119900,2645,3,1,35,0,1,1,0,7
138900,2360,3,2,18,0,1,1,0,89
121300,1977,3,2,1,0,1,0,0,133
129000,2701,3,2,35,0,1,0,0,6
263000,3682,3,2,13,0,1,1,0,8
139300,2536,4,2,1,0,1,0,0,0
107900,1707,3,2,2,0,1,1,0,6
115900,1700,3,2,2,0,1,1,1,4
72000,1394,3,1,18,0,1,0,0,21
80000,1183,3,2,18,0,1,0,0,11
22000,1414,3,1,35,0,1,0,0,279
209100,3456,4,3,1,0,1,0,0,173
138900,2536,4,2,1,0,1,0,0,242
64000,1811,3,2,8,0,1,0,0,15
159900,3657,4,2,35,1,1,1,0,116
45000,1300,3,1,35,0,1,1,0,177
149900,2486,3,2,18,0,1,0,0,7
174000,2768,4,2,2,0,1,1,0,16
71000,1949,4,2,45,0,1,1,0,95
63000,1386,3,1,25,0,1,0,0,70
130000,1296,3,2,18,0,1,1,0,60
175000,2267,4,2,25,0,1,1,0,71
98500,1152,3,2,5,0,1,0,0,11
99000,1808,3,2,18,0,1,0,0,7
72500,1411,3,1,25,0,1,1,0,13
89100,1917,3,2,18,0,1,1,0,52
182500,3171,4,2,18,0,1,1,0,216
197500,3128,3,2,63,0,1,1,0,37
143000,2452,3,2,18,0,1,1,0,7
164900,2669,4,2,25,0,1,1,0,9
178950,2350,4,2,2,0,1,1,0,16
164300,2980,4,2,1,0,1,0,0,134
84500,1162,3,1,25,0,1,0,0,43
153900,2522,3,2,1,0,1,1,0,133
61500,1763,3,1,35,0,1,0,1,95
75000,1617,3,2,5,0,1,0,0,40
109900,1860,3,2,35,0,1,0,0,0
112000,1964,3,2,25,0,1,1,0,96
178000,2432,4,2,25,0,1,1,0,45
129800,2348,3,2,1,0,1,0,0,0
150000,2800,4,2,25,0,1,1,0,13
124000,2989,3,2,45,0,1,0,0,50
127000,2011,3,2,25,0,1,1,0,18
62241,1615,3,2,25,0,1,0,0,2
36000,900,3,1,35,0,1,0,0,40
146400,2444,3,2,8,0,1,1,0,42
124400,1848,3,2,8,0,1,1,0,176
91500,1519,3,1,35,0,1,1,0,20
133400,2418,4,2,1,0,1,0,0,0
102500,2196,3,2,25,0,1,0,0,8
252900,2977,3,2,1,0,1,1,0,276
128600,2182,3,2,1,0,1,0,0,64
109900,1858,3,2,25,0,1,1,0,349
132000,2156,3,2,25,0,1,1,0,19
189900,1936,3,2,45,0,1,1,0,11
122100,2087,3,2,1,0,1,0,0,0
127800,2131,3,2,5,0,1,1,0,11
62500,1440,2,2,25,0,1,1,0,113
76000,1286,3,1,35,0,1,0,0,25
161500,2302,3,2,8,0,1,1,0,28
119000,1389,3,2,25,0,1,1,0,20
152500,1765,3,2,25,0,1,0,0,15
45000,1130,3,1,35,0,1,1,0,74
121900,2200,3,2,25,0,1,1,0,26
177500,2636,3,2,8,0,1,1,0,8
148900,2171,4,2,35,0,1,1,0,49
229900,3060,4,3,2,0,1,1,0,199
102565,2890,3,2,25,1,1,1,0,15
128000,1304,3,2,45,0,1,0,0,22
125000,2430,3,2,25,0,1,0,0,19
80000,2120,3,2,45,0,1,0,0,10
99900,1495,3,2,25,0,1,0,0,10
675000,5858,4,3,8,0,1,1,1,157
149000,2876,3,2,45,0,1,1,0,2
270000,5814,3,3,63,0,1,1,1,3
137500,2905,4,2,35,0,1,0,0,26
219000,2200,3,2,2,0,1,1,0,122
133800,2418,4,2,1,0,1,0,0,0
126900,2623,3,2,25,0,1,0,0,22
118900,1872,4,2,25,0,1,0,0,8
144500,1548,3,2,8,0,1,1,0,18
119500,2482,3,2,25,0,1,1,0,124
142900,1992,3,2,8,0,1,1,0,70
68500,790,1,1,18,0,1,1,0,8
325000,3812,4,3,13,0,1,1,0,3
127000,2009,3,2,35,0,1,1,0,112
128000,2134,3,2,1,0,1,1,0,73
161000,2420,3,2,1,0,1,1,1,447
118000,2978,4,2,25,0,1,1,0,55
136400,2534,3,2,25,0,1,1,0,130
113500,1960,3,2,1,0,1,0,0,103
425000,6194,6,5,8,0,1,1,1,14
110000,2005,3,2,25,0,1,0,0,71
54000,1165,2,1,35,0,1,0,0,190
79900,1009,3,1,35,1,1,0,0,10
102800,1670,3,2,1,0,1,0,0,0
98350,1228,2,2,25,0,1,1,0,137
105000,1927,3,2,25,0,1,0,0,93
131800,2379,3,2,1,0,1,0,0,51
52900,1482,3,1,45,0,1,0,0,21
118500,2550,4,2,35,0,1,0,0,124
142900,1995,3,2,8,1,1,1,0,49
183500,3810,4,3,35,0,1,0,0,3
165800,2980,4,2,1,0,1,0,0,126
95000,2332,3,2,8,0,1,0,0,37
118830,2130,3,2,35,0,1,0,0,12
89900,1393,3,1,45,0,1,0,0,43
105000,2200,3,2,25,0,1,1,0,186
175900,3116,5,3,1,0,1,0,0,0
150000,3425,4,2,35,0,1,1,1,7
158900,2523,4,2,1,0,1,0,0,11
85000,1562,3,2,25,0,1,0,0,7
90900,1337,3,1,25,0,1,1,0,121
168000,2760,4,2,8,1,1,1,0,1
128000,2083,4,2,8,1,1,0,0,34
180221,2816,4,3,1,0,1,0,0,0
128000,1958,3,2,2,0,1,1,0,49
133000,2418,4,2,1,0,1,0,0,0
137000,2681,3,2,35,0,1,1,0,100
212500,3453,3,2,13,0,1,1,0,2
165900,2174,3,2,1,0,1,1,0,154
93000,2332,2,2,25,0,1,0,0,66
193500,3438,4,2,13,0,1,1,0,318
100000,1453,3,2,18,0,1,0,0,8
173000,2532,4,2,63,0,1,0,0,1
154000,2235,4,2,5,0,1,1,0,18
128900,2770,4,2,45,0,1,0,0,26
135700,2418,4,2,1,0,1,0,0,47
72500,1203,3,1,35,0,1,0,0,6
129800,2348,3,2,1,0,1,0,0,0
146715,2467,3,2,1,0,1,0,0,0
90000,2411,4,2,25,0,1,0,0,75
93900,1500,3,2,25,0,1,0,0,27
175000,2469,3,2,8,0,1,1,0,19
195500,2923,4,2,13,0,1,1,0,12
109500,1970,3,2,5,0,1,0,0,11
126600,2348,3,2,1,0,1,0,0,0
130000,2353,3,2,13,0,1,1,0,77
85000,1300,3,1,25,0,1,0,0,199
22654,1080,2,1,63,0,1,0,0,8
120459,1590,3,2,35,0,1,1,0,27
120000,2222,4,2,35,0,1,0,0,150
42000,1370,3,1,35,0,1,0,0,49
129400,2182,3,2,1,0,1,0,0,209
68000,1342,3,1,35,0,1,0,0,380
64900,1970,4,1,35,0,1,1,0,70
125000,2127,3,2,2,0,1,0,0,59
190000,2628,3,3,45,0,1,1,0,7
76000,1433,3,1,35,0,1,0,0,220
162900,2010,3,2,1,0,1,0,0,2
143000,1613,3,2,8,0,1,1,0,31
62500,1763,3,1,45,0,1,0,0,17
35000,1714,3,1,35,0,1,1,0,33
124900,2917,3,2,25,0,1,1,0,5
239900,3172,4,3,5,0,1,1,0,27
41500,1015,3,1,45,0,1,0,0,11
120000,3329,3,2,35,0,1,0,0,9
120000,1864,3,2,1,0,1,1,0,84
79900,2610,3,1,45,0,1,0,0,77
95000,1801,3,2,45,0,1,1,0,97
91500,1341,3,1,18,0,1,0,0,6
103000,2827,3,2,35,0,1,0,0,67
240000,2848,4,3,13,1,1,1,1,133
108000,2461,3,3,25,1,1,0,0,51
155536,2348,3,2,2,0,1,1,0,44
135500,2122,3,2,1,0,1,0,0,390
114000,3299,3,2,25,0,1,1,0,13
67500,2419,3,2,25,0,1,0,0,0
148500,2135,3,2,25,0,1,1,0,48
103500,1483,3,2,18,0,1,0,0,71
287500,2087,3,2,63,0,1,1,0,4
123800,2105,3,2,1,0,1,0,0,212
115000,2007,3,2,8,0,1,1,0,6
287500,4033,3,4,25,1,1,1,0,22
106000,1510,3,2,18,0,1,1,0,21
112900,1215,3,2,8,0,1,1,0,86
302000,4255,4,3,5,1,1,1,0,49
99000,1467,3,2,18,0,1,1,0,78
149900,2842,4,2,1,0,1,0,0,297
89000,1358,3,2,18,0,1,0,0,39
119000,2113,3,2,25,1,1,1,0,16
123000,2590,3,2,45,0,1,0,0,21
102000,2783,2,2,18,0,1,1,0,50
214000,3041,3,2,2,0,1,1,0,70
142900,1668,3,2,18,0,1,1,0,6
109500,1989,3,2,18,0,1,1,0,83
112400,2388,3,2,45,0,1,0,0,58
242900,2866,4,3,1,0,1,1,0,301
280000,3983,4,3,5,0,1,1,1,89
80000,2176,4,2,63,0,1,0,0,19
150900,2458,3,2,1,0,1,0,0,239
57500,1847,3,2,35,0,1,0,0,11
154600,2932,4,2,1,0,1,0,0,0
219900,3333,4,3,25,0,1,1,0,144
219000,2918,3,3,63,0,1,1,0,263
226000,3368,4,2,1,0,1,1,0,135
95000,1741,3,2,2,0,1,0,0,175
157500,2458,3,2,1,0,1,0,0,290
82300,1231,3,1,35,0,1,0,0,44
130900,2062,3,2,5,1,1,1,1,18
98300,1887,3,2,45,0,1,0,0,35
142900,2936,4,2,35,0,1,1,0,16
92000,1401,3,1,35,0,1,0,0,4
94900,2466,3,2,35,0,1,0,0,21
617000,5673,4,4,25,1,1,1,1,46
175000,2076,3,2,5,0,1,0,0,17
86000,2037,3,2,35,0,1,0,0,26
206000,2342,3,2,2,0,1,1,0,27
163000,2207,3,2,8,0,1,1,0,76
225000,3137,4,2,5,0,1,1,0,169
98900,1228,2,2,25,0,1,1,0,123
290000,4215,4,3,8,0,1,1,0,58
134900,2418,4,2,1,0,1,0,0,14
113700,2016,3,2,5,0,1,0,0,5
111800,1937,3,2,1,0,1,0,0,30
206500,2132,3,2,13,0,1,1,0,60
97500,1358,3,2,25,0,1,1,0,35
246000,2666,3,2,45,0,1,1,0,10
151900,3624,3,2,25,0,1,1,0,322
85000,1400,3,2,35,0,1,0,0,26
124900,1921,3,2,1,0,1,1,0,155
57000,1393,3,1,35,0,1,0,0,90
197000,3123,4,2,35,0,1,1,0,78
98900,1228,2,2,25,0,1,1,0,135
154650,2211,3,2,1,0,1,1,0,1
440000,4411,4,3,2,1,1,1,0,20
98000,1680,3,1,35,0,1,0,0,70
165330,2459,3,2,1,0,1,0,0,0
113100,1933,3,2,1,0,1,0,0,119
132600,2348,3,2,1,0,1,0,0,75
86000,1418,3,1,25,0,1,0,0,10
122000,2044,3,2,2,0,1,1,0,147
130500,2910,3,2,45,0,1,0,0,45
111900,1933,3,2,1,0,1,0,0,0
134000,2692,3,2,35,1,1,0,0,57
137800,2373,4,2,25,0,1,0,0,86
64900,971,2,1,45,0,1,0,0,176
93000,1602,4,2,45,0,1,0,0,248
66000,1589,3,2,25,0,1,0,0,11
79900,1511,3,1,25,0,1,0,0,6
163600,2717,4,2,1,0,1,0,0,0
58500,1562,2,1,35,0,1,0,0,83
126500,1954,4,2,1,0,1,0,1,139
169900,2342,3,2,2,0,1,1,0,50
194900,3010,4,2,1,0,1,0,0,114
144000,2669,4,2,35,0,1,1,0,71
113000,1696,3,2,2,0,1,1,0,20
131000,2170,3,2,13,0,1,0,0,21
154000,3179,4,3,25,0,1,0,0,123
123200,2087,3,2,1,0,1,0,0,0
103000,3153,3,2,35,0,1,1,0,46
23000,956,2,1,35,0,1,0,0,51
122000,1889,3,2,25,0,1,1,0,42
115000,2205,3,2,35,0,1,0,0,38
130000,1980,3,2,2,0,1,0,0,460
168075,2624,4,2,1,0,1,1,0,66
1007000,7099,5,5,2,0,1,1,0,192
72500,1500,4,1,45,0,1,0,0,30
170000,2477,3,2,8,0,1,1,0,1
87000,1377,3,2,63,0,1,0,0,15
161900,2415,3,2,5,0,1,1,0,30
133000,1976,4,2,35,0,1,0,0,29
254000,3122,4,3,8,0,1,1,0,33
336000,4133,4,3,13,0,1,1,1,57
94900,1485,4,2,1,0,1,0,0,26
318600,3600,4,3,1,0,1,1,1,118
134600,2418,4,2,1,0,1,0,0,0
60000,1336,3,1,35,0,1,0,0,42
143000,2136,3,2,8,0,1,1,0,103
154600,2932,4,2,1,0,1,0,0,221
158900,2932,4,2,1,0,1,0,0,42
87000,1974,3,1,35,0,1,0,0,387
92000,1346,3,2,18,0,1,0,0,31
355000,4325,4,3,5,0,1,1,0,9
134600,2418,4,2,1,0,1,0,0,0
129900,2348,3,2,1,0,1,0,0,3
102000,2376,3,1,45,0,1,1,0,91
120000,1438,2,1,45,0,1,0,0,30
196900,2779,4,2,1,0,1,0,0,427
133800,2418,4,2,1,0,1,0,0,0
119900,2282,3,2,25,0,1,1,0,25
120500,1977,3,2,2,0,1,1,0,43
133800,2418,4,2,1,0,1,0,0,2
147000,2280,4,2,1,0,1,1,0,406
131900,2226,3,2,8,0,1,1,0,151
95000,2041,3,2,45,0,1,0,0,42
76000,1178,3,1,35,0,1,0,0,44
290000,2824,3,2,25,0,1,1,0,73
163500,2517,4,2,8,0,1,1,0,15
142500,2247,3,2,8,0,1,1,0,49
42000,1489,3,1,35,0,1,0,0,12
184700,3279,4,2,25,1,1,1,0,40
63000,1800,3,2,63,0,1,0,0,38
139900,4130,4,2,45,0,1,0,0,15
227500,3094,4,2,8,0,1,1,0,1
226900,2879,3,2,1,0,1,1,0,88
400000,3133,4,3,8,0,1,1,0,51
136000,2210,4,3,25,0,1,0,0,196
114000,2193,4,2,45,0,1,1,0,26
243900,2457,4,2,13,1,1,1,0,9
82900,1400,3,2,35,0,1,0,0,0
248900,3206,4,2,13,0,1,1,0,101
119900,2490,3,2,35,0,1,0,0,135
138800,2536,4,2,1,0,1,0,0,32
315000,3835,3,2,63,0,1,1,0,48
149900,2228,3,2,1,0,1,1,0,77
75000,1594,3,1,35,0,1,0,0,177
59895,1865,3,2,25,0,1,0,0,65
196900,2779,4,2,1,0,1,0,0,71
114500,2103,3,2,2,0,1,1,0,18
200000,3088,4,2,25,0,1,1,0,37
175000,2948,4,2,25,0,1,1,0,94
109300,1886,3,2,1,0,1,0,0,143
180000,3993,4,2,25,0,1,1,0,114
181900,2985,4,2,1,0,1,0,0,0
185000,2495,3,2,18,0,1,1,0,68
104000,2095,3,2,25,0,1,1,0,3
134300,2418,4,2,1,0,1,0,0,144
51500,1700,3,2,35,0,1,0,0,13
125000,1520,2,2,18,0,1,0,0,33
98400,2037,3,2,25,0,1,0,0,26
114000,1896,3,2,1,0,1,1,0,99
146000,1810,3,2,35,0,1,1,0,255
103000,2246,3,2,25,0,1,1,0,9
116300,2773,3,2,25,0,1,1,0,24
133800,2418,4,2,1,0,1,0,0,0
112900,2090,3,2,13,0,1,1,0,14
85000,2072,4,2,25,0,1,1,0,11
131000,2122,3,2,2,0,1,0,0,21
93300,1501,3,1,35,0,1,0,0,10
210000,4315,4,2,25,0,1,1,0,60
207255,2135,3,2,1,0,1,0,0,36
70500,1376,3,1,35,0,1,0,0,139
143900,2948,4,3,5,0,1,1,0,6
89000,1591,3,2,35,0,1,0,0,51
135900,1405,3,2,1,0,1,0,0,51
149100,2842,4,2,1,0,1,0,0,0
73500,1266,3,1,35,0,1,0,0,25
204000,3222,4,2,8,0,1,1,0,74
137900,3150,4,2,25,0,1,1,0,33
75000,2294,3,3,35,0,1,0,0,19
142000,2532,4,2,2,0,1,1,1,227
117500,1979,3,2,8,0,1,1,0,22
110000,1945,3,2,25,0,1,1,0,44
109000,2145,3,2,25,0,1,1,0,40
176700,3031,5,3,45,0,1,0,0,101
184300,3013,4,2,25,0,1,1,0,122
110000,2739,5,3,35,0,1,0,0,15
392250,3535,4,3,2,0,1,1,0,147
123400,2446,3,2,45,0,1,0,0,70
60000,1383,3,2,25,0,1,1,0,14
157900,2462,3,2,1,0,1,1,0,221
124900,2272,3,2,35,0,1,1,0,34
169900,2595,3,2,8,0,1,1,1,4
121500,1897,3,2,13,0,1,1,0,140
175000,3756,4,2,35,0,1,0,0,118
139900,3266,3,2,25,0,1,1,0,8
115000,2447,3,2,35,1,1,0,0,7
111900,1933,3,2,1,0,1,0,0,191
258000,4020,4,3,13,0,1,1,0,114
77500,1330,3,1,25,0,1,0,0,28
95000,1745,2,1,45,0,1,0,0,41
419900,5736,4,3,25,1,1,1,1,133
137500,1965,3,2,25,0,1,1,0,11
63000,2292,3,2,45,0,1,0,0,240
103000,2447,3,2,35,0,1,1,0,92
101313,1228,2,2,25,0,1,1,0,132
149000,2135,3,2,5,0,1,1,0,37
335000,3060,3,2,45,0,1,0,0,7
50000,2191,3,1,45,0,1,0,0,32
92000,1001,2,2,25,0,1,0,0,96
275000,4681,4,4,25,1,1,1,0,53
111900,1615,3,2,8,0,1,0,0,192
118750,2215,3,2,13,0,1,1,0,10
98500,2296,3,2,35,0,1,0,0,60
87500,1463,4,2,25,0,1,1,0,25
69900,1837,3,1,63,0,1,0,0,126
138000,2481,3,2,35,0,1,0,0,55
62000,1090,3,1,35,0,1,0,0,168
114000,1744,3,2,8,0,1,1,0,72
133000,2496,3,2,25,0,1,1,0,9
214000,3122,4,2,13,0,1,1,0,34
78000,1916,3,2,25,0,1,0,0,121
116500,2518,4,2,25,0,1,1,0,8
177000,2353,4,2,18,1,1,1,0,49
168500,2201,3,2,8,0,1,1,0,30
158000,2376,3,2,1,0,1,1,0,34
111500,2212,3,2,18,0,1,1,0,47
135900,1425,3,2,18,0,1,1,0,0
360000,5811,5,3,35,1,1,1,0,46
115900,2554,3,2,45,0,1,1,0,162
124000,1372,3,2,8,0,1,1,0,7
75000,1303,2,1,45,0,1,0,0,329
136200,2418,4,2,1,0,1,0,0,0
127000,2412,3,2,25,0,1,1,0,27
227500,3262,4,2,8,0,1,1,0,53
255000,3251,4,3,5,0,1,1,0,125
125000,1912,3,2,45,0,1,0,0,8
170000,2076,4,3,13,0,1,0,0,107
125000,1879,3,2,13,0,1,1,0,72
230000,3168,4,2,8,0,1,0,0,30
142000,2280,4,2,1,0,1,1,0,420
93000,1963,3,1,45,0,1,0,0,40
119400,1996,3,2,18,0,1,1,0,17
422900,4601,5,3,8,1,1,1,0,29
134200,2418,4,2,1,0,1,0,0,0
127000,1862,3,2,8,0,1,1,1,29
23000,933,2,1,45,0,1,0,0,3
66500,741,1,1,18,1,1,1,0,6
167500,2560,3,2,2,0,1,1,0,149
138900,2083,3,2,8,0,1,1,0,61
114500,1933,3,2,1,0,1,0,0,21
158000,3593,4,2,25,1,1,1,0,516
171500,2216,3,2,5,0,1,1,0,11
170000,3323,4,2,18,1,1,1,0,4
106500,2019,4,1,25,0,1,0,0,21
135000,1914,3,2,2,0,1,0,0,35
159850,2376,4,2,1,0,1,1,1,241
221000,3039,4,2,1,0,1,1,0,223
155000,1757,3,2,8,1,1,1,0,219
162000,3280,4,2,25,0,1,1,0,46
97500,1790,3,2,25,0,1,1,0,11
55500,810,3,1,35,0,1,0,0,27
187400,2226,4,2,2,0,1,1,0,67
134900,2418,4,2,1,0,1,0,0,0
100900,1514,3,2,8,0,1,0,0,11
207000,2870,3,2,13,0,1,1,0,32
103900,1716,3,2,5,0,1,0,0,8
189801,3382,4,3,1,0,1,0,0,41
125000,2071,3,2,13,0,1,1,0,16
103500,2565,3,2,18,0,1,0,0,134
126000,1931,4,2,25,0,1,0,0,33
66000,1236,3,1,35,0,1,0,0,43
122700,2087,3,2,1,0,1,0,0,1
95900,1088,2,1,18,0,2,0,0,20
164900,1600,3,3,2,1,2,0,0,5
80500,1618,2,2,18,0,2,1,0,74
109900,1875,2,2,25,0,2,1,0,12
94900,1088,2,1,18,0,2,0,0,14
95900,1088,2,1,18,0,2,0,0,45
95900,1088,2,1,18,0,2,0,0,26
95900,1088,2,1,18,0,2,0,0,31
249900,2788,3,2,1,0,2,1,0,0
95900,1088,2,1,18,0,2,0,0,2
95900,1088,2,1,18,0,2,0,0,30
101500,1910,2,2,25,0,2,0,0,77
95900,1088,2,1,18,0,2,0,0,22
95900,1088,2,1,18,0,2,0,0,19
100000,1241,2,2,25,0,2,1,0,94
139900,2000,3,2,1,0,2,1,1,333
94900,1088,2,1,18,0,2,0,0,11
94900,1088,2,1,18,0,2,0,0,17
110000,1120,2,1,18,0,2,0,1,7
56000,1495,2,2,25,0,2,1,0,14
142000,2060,3,2,18,0,2,1,0,56
95900,1088,2,1,18,0,2,0,0,18
210000,2437,3,2,8,1,2,1,0,10
95900,1088,2,1,18,0,2,0,0,6
94900,1088,2,1,18,0,2,0,0,14
90000,1628,2,1,25,0,2,0,0,149
94900,1088,2,1,18,0,2,0,0,24
95900,1088,2,1,18,0,2,0,0,1
149900,1310,2,2,1,1,2,0,0,0
147000,2040,3,2,25,0,2,0,0,19
87000,1059,2,2,18,1,2,1,0,20
95900,1088,2,1,18,0,2,0,0,22
59500,1160,2,2,18,0,2,1,0,345
95900,1088,2,1,18,0,2,0,0,6
95900,1088,2,1,18,0,2,0,0,13
140000,1976,2,2,2,0,2,1,1,27
94900,1088,2,1,18,0,2,0,0,15
95900,1088,2,1,18,0,2,0,0,481
95900,1088,2,1,18,0,2,0,0,51
95900,1088,2,1,18,0,2,0,0,6
127000,1291,2,2,8,1,2,1,0,26
95900,1088,2,1,18,0,2,0,0,1
92000,1565,2,1,13,0,2,1,0,44
95900,1088,2,1,18,0,2,0,0,3
82500,1656,2,2,25,0,2,1,0,6
94900,1088,2,1,18,0,2,0,0,32
95900,1088,2,1,18,0,2,0,0,79
102000,1172,2,2,18,0,2,1,0,28
96300,1558,2,1,18,0,2,1,0,148
94900,1088,2,1,18,0,2,0,0,10
95900,1088,2,1,18,0,2,0,0,47
95900,1088,2,1,18,0,2,0,0,53
74900,1734,2,2,18,0,2,1,0,10
150000,1900,3,2,25,1,2,1,0,31
130000,1980,3,2,18,0,2,1,0,11
94900,1088,2,1,18,0,2,0,0,29
94900,1088,2,1,18,0,2,0,0,34
60150,1210,2,2,18,0,2,1,0,216
97900,1088,2,1,18,0,2,0,0,17
95900,1088,2,1,18,0,2,0,0,45
64500,1243,2,2,25,0,2,1,0,20
95900,1088,2,1,18,0,2,0,0,17
95900,1088,2,1,18,0,2,0,0,43
100000,1713,3,2,18,1,3,0,0,4
121000,1517,4,2,63,1,3,0,0,1
182500,3353,3,2,35,1,3,1,0,9
65000,1450,3,1,35,0,3,0,0,13
99000,2278,3,1,45,0,3,0,0,8
82500,2277,4,2,35,0,3,1,0,22
132000,2588,3,2,35,0,3,0,0,49
148000,1901,4,2,8,0,3,1,0,58
126000,1367,3,2,5,0,3,1,0,148
95000,1605,3,2,35,0,3,0,0,115
138500,1500,3,2,35,0,3,0,0,10
107900,2796,4,2,25,0,3,1,0,93
114000,2879,3,2,25,1,3,0,0,25
82551,2561,4,2,63,0,3,0,0,14
110000,2378,3,2,25,1,3,0,0,70
118000,2454,3,2,18,0,3,1,0,12
153500,2441,3,2,8,0,3,1,0,118
119900,2152,3,2,35,0,3,0,0,3
78000,1396,4,1,45,0,3,0,0,114
122000,3750,3,2,45,0,3,1,0,87
22000,1092,3,1,35,0,3,0,0,366
105000,2311,3,2,35,0,3,0,0,89
89000,1612,2,2,63,0,3,0,0,70
40000,1494,4,1,18,0,3,0,0,26
97000,2838,3,1,25,0,3,0,0,8
165500,2181,3,2,2,0,3,1,0,4
150000,3182,4,2,45,1,3,1,0,374
69000,1457,3,1,2,0,3,0,0,37
182000,1751,3,2,5,0,3,1,1,79
110500,1964,3,1,25,0,3,1,0,257
73000,1790,3,1,45,0,3,0,0,57
104600,2535,3,2,45,1,3,1,0,17
140000,2779,3,2,35,0,3,1,0,256
129500,2146,3,1,45,0,3,1,0,168
72200,1419,3,2,35,0,3,0,0,4
135000,3372,3,2,35,0,3,1,0,230
51000,1400,3,2,25,0,3,0,0,11
149900,3040,4,2,35,0,3,1,0,138
172900,2348,3,2,45,0,3,1,0,0
140000,1561,3,2,45,0,3,0,0,29
105000,2070,2,1,13,0,3,0,0,36
156900,2815,3,2,35,1,3,0,0,18
180000,2570,3,2,25,0,3,1,0,8
157000,3550,4,3,35,0,3,0,0,67
154000,2663,4,2,45,1,3,0,0,61
100200,1352,3,2,13,0,3,1,0,7
160000,3303,5,3,25,0,3,1,0,65
